"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 26 20:35:11 GMT 2025","Wed Mar 26 20:35:14 GMT 2025","2592","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectByNameTest","com.example.teamcity.ui.SearchProjectByNameTest","searchProjectByName","searchProjectByName",""
"passed","Wed Mar 26 20:35:33 GMT 2025","Wed Mar 26 20:35:42 GMT 2025","8708","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create build configuration",""
"passed","Wed Mar 26 20:34:38 GMT 2025","Wed Mar 26 20:34:59 GMT 2025","21237","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Wed Mar 26 20:35:06 GMT 2025","Wed Mar 26 20:35:06 GMT 2025","13","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Wed Mar 26 20:32:57 GMT 2025","Wed Mar 26 20:33:52 GMT 2025","54460","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Wed Mar 26 20:35:20 GMT 2025","Wed Mar 26 20:35:27 GMT 2025","7242","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCanNotCreateBuildConfWithEmptyName","User can't create a build configuration with an empty Build Configuration Name",""
