"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 23 00:00:25 GMT 2025","Sun Mar 23 00:00:25 GMT 2025","3","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Sun Mar 23 00:00:01 GMT 2025","Sun Mar 23 00:00:19 GMT 2025","18103","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"failed","Sun Mar 23 00:00:31 GMT 2025","Sun Mar 23 00:00:45 GMT 2025","13135","Surefire suite","Surefire test","com.example.teamcity.ui.BuildRunTest","com.example.teamcity.ui.BuildRunTest","userRunsBuildAndGetsHelloWorld","User should be able to run a build and get hello world in a console",""
"passed","Sun Mar 23 00:01:09 GMT 2025","Sun Mar 23 00:01:14 GMT 2025","5571","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create build configuration",""
"passed","Sat Mar 22 23:58:20 GMT 2025","Sat Mar 22 23:59:14 GMT 2025","54024","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Mar 23 00:00:50 GMT 2025","Sun Mar 23 00:00:52 GMT 2025","1979","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectByNameTest","com.example.teamcity.ui.SearchProjectByNameTest","searchProjectByName","searchProjectByName",""
"passed","Sun Mar 23 00:00:58 GMT 2025","Sun Mar 23 00:01:03 GMT 2025","5433","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCanNotCreateBuildConfWithEmptyName","User can't create a build configuration with an empty Build Configuration Name",""
