"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 27 21:55:33 GMT 2025","Thu Mar 27 21:55:40 GMT 2025","6114","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create build configuration",""
"passed","Thu Mar 27 21:55:09 GMT 2025","Thu Mar 27 21:55:09 GMT 2025","6","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Thu Mar 27 21:55:23 GMT 2025","Thu Mar 27 21:55:28 GMT 2025","5197","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCanNotCreateBuildConfWithEmptyName","User can't create a build configuration with an empty Build Configuration Name",""
"passed","Thu Mar 27 21:53:01 GMT 2025","Thu Mar 27 21:53:55 GMT 2025","53501","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Mar 27 21:55:15 GMT 2025","Thu Mar 27 21:55:17 GMT 2025","2261","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectByNameTest","com.example.teamcity.ui.SearchProjectByNameTest","searchProjectByName","User should be able to search for a project by name",""
"passed","Thu Mar 27 21:54:42 GMT 2025","Thu Mar 27 21:55:02 GMT 2025","20601","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
