"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 26 22:10:25 GMT 2025","Wed Mar 26 22:10:25 GMT 2025","3","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Wed Mar 26 22:09:58 GMT 2025","Wed Mar 26 22:10:18 GMT 2025","19917","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Wed Mar 26 22:10:31 GMT 2025","Wed Mar 26 22:10:34 GMT 2025","2621","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectByNameTest","com.example.teamcity.ui.SearchProjectByNameTest","searchProjectByName","User should be able to search for a project by name",""
"passed","Wed Mar 26 22:10:52 GMT 2025","Wed Mar 26 22:11:00 GMT 2025","7758","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create build configuration",""
"passed","Wed Mar 26 22:08:15 GMT 2025","Wed Mar 26 22:09:09 GMT 2025","53224","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Wed Mar 26 22:10:40 GMT 2025","Wed Mar 26 22:10:46 GMT 2025","6032","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCanNotCreateBuildConfWithEmptyName","User can't create a build configuration with an empty Build Configuration Name",""
