"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 23 19:43:46 GMT 2025","Sun Mar 23 19:43:49 GMT 2025","2662","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectByNameTest","com.example.teamcity.ui.SearchProjectByNameTest","searchProjectByName","searchProjectByName",""
"passed","Sun Mar 23 19:43:56 GMT 2025","Sun Mar 23 19:44:01 GMT 2025","5502","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCanNotCreateBuildConfWithEmptyName","User can't create a build configuration with an empty Build Configuration Name",""
"passed","Sun Mar 23 19:41:40 GMT 2025","Sun Mar 23 19:42:29 GMT 2025","49594","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Mar 23 19:44:07 GMT 2025","Sun Mar 23 19:44:14 GMT 2025","6991","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create build configuration",""
"passed","Sun Mar 23 19:43:40 GMT 2025","Sun Mar 23 19:43:40 GMT 2025","3","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Sun Mar 23 19:43:14 GMT 2025","Sun Mar 23 19:43:33 GMT 2025","18901","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
