"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 26 22:15:42 GMT 2025","Wed Mar 26 22:16:36 GMT 2025","53988","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Wed Mar 26 22:17:22 GMT 2025","Wed Mar 26 22:17:39 GMT 2025","16701","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Wed Mar 26 22:18:00 GMT 2025","Wed Mar 26 22:18:05 GMT 2025","5243","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCanNotCreateBuildConfWithEmptyName","User can't create a build configuration with an empty Build Configuration Name",""
"passed","Wed Mar 26 22:18:11 GMT 2025","Wed Mar 26 22:18:18 GMT 2025","7185","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create build configuration",""
"passed","Wed Mar 26 22:17:51 GMT 2025","Wed Mar 26 22:17:54 GMT 2025","2738","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectByNameTest","com.example.teamcity.ui.SearchProjectByNameTest","searchProjectByName","User should be able to search for a project by name",""
"passed","Wed Mar 26 22:17:45 GMT 2025","Wed Mar 26 22:17:45 GMT 2025","2","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
