"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Mar 21 22:47:00 GMT 2025","Fri Mar 21 22:47:01 GMT 2025","165","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create build configuration",""
"passed","Fri Mar 21 22:46:58 GMT 2025","Fri Mar 21 22:46:58 GMT 2025","3","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Fri Mar 21 22:45:49 GMT 2025","Fri Mar 21 22:46:39 GMT 2025","50345","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Fri Mar 21 22:46:48 GMT 2025","Fri Mar 21 22:46:57 GMT 2025","9510","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"failed","Fri Mar 21 22:47:00 GMT 2025","Fri Mar 21 22:47:00 GMT 2025","220","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectByNameTest","com.example.teamcity.ui.SearchProjectByNameTest","searchProjectByName","searchProjectByName",""
"failed","Fri Mar 21 22:46:58 GMT 2025","Fri Mar 21 22:47:00 GMT 2025","2297","Surefire suite","Surefire test","com.example.teamcity.ui.BuildRunTest","com.example.teamcity.ui.BuildRunTest","userRunsBuildAndGetsHelloWorld","User should be able to run a build and get hello world in a console",""
"failed","Fri Mar 21 22:47:00 GMT 2025","Fri Mar 21 22:47:00 GMT 2025","167","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCanNotCreateBuildConfWithEmptyName","User can't create a build configuration with an empty Build Configuration Name",""
