"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 23 13:49:39 GMT 2025","Sun Mar 23 13:49:59 GMT 2025","19708","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Mar 23 13:48:06 GMT 2025","Sun Mar 23 13:48:55 GMT 2025","48567","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Sun Mar 23 13:50:10 GMT 2025","Sun Mar 23 13:50:23 GMT 2025","12785","Surefire suite","Surefire test","com.example.teamcity.ui.BuildRunTest","com.example.teamcity.ui.BuildRunTest","userRunsBuildAndGetsHelloWorld","User should be able to run a build and get hello world in a console",""
"passed","Sun Mar 23 13:50:36 GMT 2025","Sun Mar 23 13:50:41 GMT 2025","4668","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCanNotCreateBuildConfWithEmptyName","User can't create a build configuration with an empty Build Configuration Name",""
"passed","Sun Mar 23 13:50:29 GMT 2025","Sun Mar 23 13:50:31 GMT 2025","2032","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectByNameTest","com.example.teamcity.ui.SearchProjectByNameTest","searchProjectByName","searchProjectByName",""
"passed","Sun Mar 23 13:50:46 GMT 2025","Sun Mar 23 13:50:51 GMT 2025","5035","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create build configuration",""
"passed","Sun Mar 23 13:50:05 GMT 2025","Sun Mar 23 13:50:05 GMT 2025","5","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
