"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 23 19:37:47 GMT 2025","Sun Mar 23 19:38:05 GMT 2025","18232","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Mar 23 19:36:13 GMT 2025","Sun Mar 23 19:37:03 GMT 2025","49902","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Mar 23 19:38:17 GMT 2025","Sun Mar 23 19:38:20 GMT 2025","2376","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectByNameTest","com.example.teamcity.ui.SearchProjectByNameTest","searchProjectByName","searchProjectByName",""
"passed","Sun Mar 23 19:38:12 GMT 2025","Sun Mar 23 19:38:12 GMT 2025","3","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Sun Mar 23 19:38:38 GMT 2025","Sun Mar 23 19:38:45 GMT 2025","6630","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create build configuration",""
"passed","Sun Mar 23 19:38:26 GMT 2025","Sun Mar 23 19:38:32 GMT 2025","5746","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCanNotCreateBuildConfWithEmptyName","User can't create a build configuration with an empty Build Configuration Name",""
