"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 26 21:21:48 GMT 2025","Wed Mar 26 21:22:07 GMT 2025","18532","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Wed Mar 26 21:22:20 GMT 2025","Wed Mar 26 21:22:22 GMT 2025","2692","Surefire suite","Surefire test","com.example.teamcity.ui.SearchProjectByNameTest","com.example.teamcity.ui.SearchProjectByNameTest","searchProjectByName","User should be able to search for a project by name",""
"passed","Wed Mar 26 21:22:14 GMT 2025","Wed Mar 26 21:22:14 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Wed Mar 26 21:22:39 GMT 2025","Wed Mar 26 21:22:47 GMT 2025","7988","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuildConfiguration","User should be able to create build configuration",""
"passed","Wed Mar 26 21:20:11 GMT 2025","Wed Mar 26 21:21:03 GMT 2025","52976","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Wed Mar 26 21:22:28 GMT 2025","Wed Mar 26 21:22:33 GMT 2025","4918","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","userCanNotCreateBuildConfWithEmptyName","User can't create a build configuration with an empty Build Configuration Name",""
